,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
0,Aaron Gordon,PF,19.5,ORL,62.5,1330.0,14.2,0.529,0.238,0.313,7.7,19.55,13.55,8.3,1.4500000000000002,2.3,11.45,16.4,1.75,1.4500000000000002,3.2,0.0995,-0.8500000000000001,0.0,-0.8500000000000001,0.6,2015,203932.0,Aaron,Gordon,Aaron Gordon,"Gordon, Aaron",A. Gordon,aaron-gordon,1995-09-16T00:00:00,Arizona,USA,Arizona/USA,80.0,235.0,9.0,Forward,Active,Y,1610612743.0,aaron_gordon,2014.0,2023.0,N,Y,Y,2014,N,2,3,2,No
1,Aaron Holiday,PG,22.5,IND,58.0,1131.5,11.75,0.5195000000000001,0.439,0.173,1.2,9.7,5.55,19.200000000000003,1.65,1.35,12.55,20.299999999999997,0.25,1.25,1.5,0.064,-1.65,0.05,-1.6,0.15000000000000002,2019,1628988.0,Aaron,Holiday,Aaron Holiday,"Holiday, Aaron",A. Holiday,aaron-holiday,1996-09-30T00:00:00,UCLA,USA,UCLA/USA,72.0,185.0,5.0,Guard,Active,Y,1610612745.0,aaron_holiday,2018.0,2023.0,N,Y,Y,2018,N,3,3,3,No
2,Abdel Nader,SF,24.5,BOS,54.5,608.0,6.95,0.48050000000000004,0.4505,0.21450000000000002,2.4,13.85,8.0,5.449999999999999,1.35,1.55,13.55,16.1,-0.45,0.8500000000000001,0.4,0.024,-4.55,0.25,-4.25,-0.30000000000000004,2018,1627846.0,Abdel,Nader,Abdel Nader,"Nader, Abdel",A. Nader,abdel-nader,1993-09-25T00:00:00,Iowa State,Egypt,Iowa State/Egypt,77.0,225.0,5.0,Forward,Inactive,N,0.0,abdel_nader,2017.0,2021.0,Y,Y,Y,2016,N,3,3,4,Yes
3,Adreian Payne,PF,23.5,TOT,42.0,612.5,6.65,0.4325,0.131,0.194,6.0,19.85,12.9,7.65,1.5,1.4,17.1,17.35,-0.8,0.30000000000000004,-0.5,-0.04,-5.55,-1.1,-6.550000000000001,-0.7,2015,203940.0,Adreian,Payne,Adreian Payne,"Payne, Adreian",A. Payne,adreian-payne,1991-02-19T00:00:00,Michigan State,USA,Michigan State/USA,82.0,237.0,4.0,Forward,Inactive,N,0.0,adreian_payne,2014.0,2017.0,Y,Y,Y,2014,N,1,2,4,Yes
4,Alize Johnson,PF,22.5,IND,15.5,91.0,9.8,0.42100000000000004,0.2005,0.4225,11.05,27.45,19.4,4.85,1.0,2.85,8.65,14.15,0.0,0.15000000000000002,0.15,0.069,-3.75,-0.9,-4.65,-0.05,2019,1628993.0,Alize,Johnson,Alize Johnson,"Johnson, Alize",A. Johnson,alize-johnson,1996-04-22T00:00:00,Missouri State,USA,Missouri State/USA,80.0,212.0,5.0,Forward,Inactive,N,0.0,alize_johnson,2018.0,2022.0,Y,Y,Y,2018,N,1,3,3,No
5,Andrew Wiggins,SF,19.5,MIN,81.5,2907.0,15.2,0.53,0.129,0.4235,4.65,8.5,6.550000000000001,9.95,1.45,1.3,11.149999999999999,24.9,2.75,0.35,3.0999999999999996,0.051500000000000004,0.25,-2.1,-1.85,0.1,2015,203952.0,Andrew,Wiggins,Andrew Wiggins,"Wiggins, Andrew",A. Wiggins,andrew-wiggins,1995-02-23T00:00:00,Kansas,Canada,Kansas/Canada,79.0,197.0,9.0,Forward,Active,Y,1610612744.0,andrew_wiggins,2014.0,2023.0,N,Y,Y,2014,N,1,1,1,No
6,Anfernee Simons,SG,19.5,POR,45.0,795.0,10.05,0.5185,0.441,0.213,2.05,8.25,5.2,11.45,0.6,0.3,11.6,21.5,0.0,0.05,0.15000000000000002,0.0125,-2.05,-2.8,-4.9,-0.5,2019,1629014.0,Anfernee,Simons,Anfernee Simons,"Simons, Anfernee",A. Simons,anfernee-simons,1999-06-08T00:00:00,Edgewater HS (FL),USA,Edgewater HS (FL)/USA,75.0,193.0,5.0,Guard,Active,Y,1610612757.0,anfernee_simons,2018.0,2023.0,Y,Y,Y,2018,N,1,1,1,No
7,Anthony Bennett,PF,20.5,CLE,54.5,778.5,9.15,0.4415,0.1565,0.261,7.3,20.0,13.45,6.35,1.55,1.2,12.75,19.05,-0.6000000000000001,0.55,-0.05000000000000002,-0.0055,-4.25,-1.35,-5.65,-0.65,2014,203461.0,Anthony,Bennett,Anthony Bennett,"Bennett, Anthony",A. Bennett,anthony-bennett,1993-03-14T00:00:00,UNLV,Canada,UNLV/Canada,80.0,235.0,5.0,Forward,Inactive,N,0.0,anthony_bennett,2013.0,2016.0,Y,Y,Y,2013,N,1,1,1,No
8,Archie Goodwin,SG,19.5,PHO,46.5,534.0,10.75,0.4965,0.21,0.371,5.4,11.35,8.399999999999999,9.15,1.7999999999999998,1.4500000000000002,17.75,21.4,-0.25,0.45,0.2,0.016,-2.95,-0.35,-3.3,-0.2,2014,203462.0,Archie,Goodwin,Archie Goodwin,"Goodwin, Archie",A. Goodwin,archie-goodwin,1994-08-17T00:00:00,Kentucky,USA,Kentucky/USA,77.0,205.0,5.0,Guard,Inactive,N,1610612756.0,archie_goodwin,2013.0,2016.0,Y,Y,Y,2013,N,3,3,2,No
9,Ben McLemore,SG,20.5,SAC,82.0,2428.5,9.05,0.5185,0.45399999999999996,0.202,2.05,9.05,5.6,7.1,1.25,0.6499999999999999,12.4,17.049999999999997,0.7999999999999999,0.8500000000000001,1.65,0.0305,-2.1,-1.0,-3.1,-0.65,2014,203463.0,Ben,McLemore,Ben McLemore,"McLemore, Ben",B. McLemore,ben-mclemore,1993-02-11T00:00:00,Kansas,USA,Kansas/USA,75.0,195.0,10.0,Guard,Inactive,N,1610612757.0,ben_mclemore,2013.0,2021.0,Y,Y,Y,2013,N,1,1,2,Yes
