,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_FGA%,0-3_FGA%,3-10_FGA%,10-16_FGA%,16-3P_FGA%,3P_FGA%,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,2P_FGast,3P_FGast,Dunks_%FGA,Dunks_#,Corner_%3PA,Corner_3P%,Heaves_Att.,Heaves_#,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
0,Aaron Gordon,PF,19.5,ORL,62.5,1330.0,0.45999999999999996,9.7,0.762,0.458,0.127,0.091,0.0875,0.238,0.5155000000000001,0.6445000000000001,0.38149999999999995,0.22000000000000003,0.323,0.2835,0.5025,0.9495,0.128,47.0,0.461,0.3305,1,0,2015,203932.0,Aaron,Gordon,Aaron Gordon,"Gordon, Aaron",A. Gordon,aaron-gordon,1995-09-16T00:00:00,Arizona,USA,Arizona/USA,80.0,235.0,9.0,Forward,Active,Y,1610612743.0,aaron_gordon,2014.0,2023.0,N,Y,Y,2014,N,3,3,4,Yes
1,Aaron Holiday,PG,22.5,IND,58.0,1131.5,0.4075,16.4,0.5609999999999999,0.199,0.1445,0.093,0.125,0.439,0.443,0.587,0.3375,0.36150000000000004,0.401,0.36650000000000005,0.3375,0.815,0.008,2.0,0.1345,0.4085,1,0,2019,1628988.0,Aaron,Holiday,Aaron Holiday,"Holiday, Aaron",A. Holiday,aaron-holiday,1996-09-30T00:00:00,UCLA,USA,UCLA/USA,72.0,185.0,5.0,Guard,Active,Y,1610612745.0,aaron_holiday,2018.0,2023.0,N,Y,Y,2018,N,2,2,2,No
2,Abdel Nader,SF,24.5,BOS,54.5,608.0,0.3795,13.55,0.5495,0.304,0.1885,0.027,0.0295,0.4505,0.41700000000000004,0.5,0.352,0.0835,0.3335,0.33699999999999997,0.4125,0.963,0.031,4.0,0.377,0.3615,0,0,2018,1627846.0,Abdel,Nader,Abdel Nader,"Nader, Abdel",A. Nader,abdel-nader,1993-09-25T00:00:00,Iowa State,Egypt,Iowa State/Egypt,77.0,225.0,5.0,Forward,Inactive,N,0.0,abdel_nader,2017.0,2021.0,Y,Y,Y,2016,N,1,1,4,Yes
3,Adreian Payne,PF,23.5,TOT,42.0,612.5,0.39,11.35,0.869,0.246,0.23199999999999998,0.11049999999999999,0.281,0.131,0.40800000000000003,0.5615,0.329,0.3085,0.3755,0.196,0.612,0.9445,0.082,12.5,0.1805,0.125,0,0,2015,203940.0,Adreian,Payne,Adreian Payne,"Payne, Adreian",A. Payne,adreian-payne,1991-02-19T00:00:00,Michigan State,USA,Michigan State/USA,82.0,237.0,4.0,Forward,Inactive,N,0.0,adreian_payne,2014.0,2017.0,Y,Y,Y,2014,N,1,2,4,Yes
4,Alize Johnson,PF,22.5,IND,15.5,91.0,0.33199999999999996,9.6,0.7995,0.349,0.3225,0.066,0.0625,0.2005,0.3215,0.5575,0.155,0.0,0.0,0.4375,0.3335,1.0,0.017,0.5,0.5,0.75,0,0,2019,1628993.0,Alize,Johnson,Alize Johnson,"Johnson, Alize",A. Johnson,alize-johnson,1996-04-22T00:00:00,Missouri State,USA,Missouri State/USA,80.0,212.0,5.0,Forward,Inactive,N,0.0,alize_johnson,2018.0,2022.0,Y,Y,Y,2018,N,1,2,4,Yes
5,Andre Roberson,SG,22.5,OKC,53.5,842.5,0.47150000000000003,8.9,0.6930000000000001,0.5915,0.0645,0.0125,0.024499999999999997,0.307,0.588,0.6705000000000001,0.091,0.25,0.0,0.2005,0.6065,0.976,0.16249999999999998,20.0,0.5840000000000001,0.2845,0,0,2014,203460.0,Andre,Roberson,Andre Roberson,"Roberson, Andre",A. Roberson,andre-roberson,1991-12-04T00:00:00,Colorado,USA,Colorado/USA,79.0,210.0,7.0,Guard-Forward,Inactive,N,0.0,andre_roberson,2013.0,2020.0,Y,Y,Y,2013,N,3,3,3,No
6,Andrew Wiggins,SF,19.5,MIN,81.5,2907.0,0.448,10.600000000000001,0.871,0.3165,0.175,0.14700000000000002,0.23399999999999999,0.129,0.46950000000000003,0.655,0.4,0.383,0.32599999999999996,0.305,0.4995,0.8485,0.07350000000000001,81.5,0.202,0.4095,1,0,2015,203952.0,Andrew,Wiggins,Andrew Wiggins,"Wiggins, Andrew",A. Wiggins,andrew-wiggins,1995-02-23T00:00:00,Kansas,Canada,Kansas/Canada,79.0,197.0,9.0,Forward,Active,Y,1610612744.0,andrew_wiggins,2014.0,2023.0,N,Y,Y,2014,N,3,3,3,No
7,Archie Goodwin,SG,19.5,PHO,46.5,534.0,0.42400000000000004,8.85,0.79,0.536,0.14600000000000002,0.0415,0.0665,0.21,0.48050000000000004,0.577,0.27849999999999997,0.1965,0.3635,0.216,0.369,0.9585,0.0905,14.5,0.278,0.2645,2,0,2014,203462.0,Archie,Goodwin,Archie Goodwin,"Goodwin, Archie",A. Goodwin,archie-goodwin,1994-08-17T00:00:00,Kentucky,USA,Kentucky/USA,77.0,205.0,5.0,Guard,Inactive,N,1610612756.0,archie_goodwin,2013.0,2016.0,Y,Y,Y,2013,N,3,3,2,No
8,Brandon Ingram,SF,19.5,LAL,69.0,2127.0,0.436,11.5,0.7945,0.3265,0.1465,0.14250000000000002,0.1795,0.20550000000000002,0.46299999999999997,0.6385000000000001,0.248,0.33999999999999997,0.41400000000000003,0.34199999999999997,0.3625,0.9664999999999999,0.0605,41.5,0.344,0.406,1,0,2017,1627742.0,Brandon,Ingram,Brandon Ingram,"Ingram, Brandon",B. Ingram,brandon-ingram,1997-09-02T00:00:00,Duke,USA,Duke/USA,80.0,190.0,7.0,Forward,Active,Y,1610612740.0,brandon_ingram,2016.0,2023.0,N,Y,Y,2016,N,2,3,3,No
9,Bruce Brown,SG,22.5,DET,66.0,1541.5,0.4205,9.35,0.7444999999999999,0.3975,0.304,0.0305,0.012,0.2555,0.4635,0.5834999999999999,0.32999999999999996,0.3125,0.225,0.301,0.498,0.964,0.0645,18.5,0.5385,0.387,3,0,2019,1628971.0,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,76.0,202.0,5.0,Guard-Forward,Active,Y,1610612754.0,bruce_brown,2018.0,2023.0,Y,Y,Y,2018,N,1,2,3,Yes
