,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_FGA%,0-3_FGA%,3-10_FGA%,10-16_FGA%,16-3P_FGA%,3P_FGA%,2P_FG%,0-3_FG%,3-10_FG%,10-16_FG%,16-3P_FG%,3P_FG%,2P_FGast,3P_FGast,Dunks_%FGA,Dunks_#,Corner_%3PA,Corner_3P%,Heaves_Att.,Heaves_#,Year,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,GREATEST_75_FLAG,Quartile,FIRST_2,NEXT_2,Improved
0,Aaron Gordon,PF,19.5,ORL,62.5,1330.0,0.45999999999999996,9.7,0.762,0.458,0.127,0.091,0.0875,0.238,0.5155000000000001,0.6445000000000001,0.38149999999999995,0.22000000000000003,0.323,0.2835,0.5025,0.9495,0.128,47.0,0.461,0.3305,1,0,2015,203932.0,Aaron,Gordon,Aaron Gordon,"Gordon, Aaron",A. Gordon,aaron-gordon,1995-09-16T00:00:00,Arizona,USA,Arizona/USA,80.0,235.0,9.0,Forward,Active,Y,1610612743.0,aaron_gordon,2014.0,2023.0,N,Y,Y,2014,N,2,2,3,Yes
1,Abdel Nader,SF,24.5,BOS,54.5,608.0,0.3795,13.55,0.5495,0.304,0.1885,0.027,0.0295,0.4505,0.41700000000000004,0.5,0.352,0.0835,0.3335,0.33699999999999997,0.4125,0.963,0.031,4.0,0.377,0.3615,0,0,2018,1627846.0,Abdel,Nader,Abdel Nader,"Nader, Abdel",A. Nader,abdel-nader,1993-09-25T00:00:00,Iowa State,Egypt,Iowa State/Egypt,77.0,225.0,5.0,Forward,Inactive,N,0.0,abdel_nader,2017.0,2021.0,Y,Y,Y,2016,N,3,3,4,Yes
2,Adreian Payne,PF,23.5,TOT,42.0,612.5,0.39,11.35,0.869,0.246,0.23199999999999998,0.11049999999999999,0.281,0.131,0.40800000000000003,0.5615,0.329,0.3085,0.3755,0.196,0.612,0.9445,0.082,12.5,0.1805,0.125,0,0,2015,203940.0,Adreian,Payne,Adreian Payne,"Payne, Adreian",A. Payne,adreian-payne,1991-02-19T00:00:00,Michigan State,USA,Michigan State/USA,82.0,237.0,4.0,Forward,Inactive,N,0.0,adreian_payne,2014.0,2017.0,Y,Y,Y,2014,N,1,2,4,Yes
3,Alex Len,C,20.5,PHO,55.5,940.0,0.46499999999999997,6.25,0.996,0.509,0.1845,0.1925,0.1095,0.004,0.46599999999999997,0.636,0.33399999999999996,0.291,0.1705,0.1665,0.5740000000000001,0.5,0.1725,38.0,0.1665,0.5,0,0,2014,203458.0,Alex,Len,Alex Len,"Len, Alex",A. Len,alex-len,1993-06-16T00:00:00,Maryland,Ukraine,Maryland/Ukraine,84.0,250.0,10.0,Center,Active,Y,1610612758.0,alex_len,2013.0,2023.0,N,Y,Y,2013,N,1,3,2,No
4,Andre Roberson,SG,22.5,OKC,53.5,842.5,0.47150000000000003,8.9,0.6930000000000001,0.5915,0.0645,0.0125,0.024499999999999997,0.307,0.588,0.6705000000000001,0.091,0.25,0.0,0.2005,0.6065,0.976,0.16249999999999998,20.0,0.5840000000000001,0.2845,0,0,2014,203460.0,Andre,Roberson,Andre Roberson,"Roberson, Andre",A. Roberson,andre-roberson,1991-12-04T00:00:00,Colorado,USA,Colorado/USA,79.0,210.0,7.0,Guard-Forward,Inactive,N,0.0,andre_roberson,2013.0,2020.0,Y,Y,Y,2013,N,2,2,2,No
5,Andrew Wiggins,SF,19.5,MIN,81.5,2907.0,0.448,10.600000000000001,0.871,0.3165,0.175,0.14700000000000002,0.23399999999999999,0.129,0.46950000000000003,0.655,0.4,0.383,0.32599999999999996,0.305,0.4995,0.8485,0.07350000000000001,81.5,0.202,0.4095,1,0,2015,203952.0,Andrew,Wiggins,Andrew Wiggins,"Wiggins, Andrew",A. Wiggins,andrew-wiggins,1995-02-23T00:00:00,Kansas,Canada,Kansas/Canada,79.0,197.0,9.0,Forward,Active,Y,1610612744.0,andrew_wiggins,2014.0,2023.0,N,Y,Y,2014,N,2,2,3,Yes
6,Anfernee Simons,SG,19.5,POR,45.0,795.0,0.4215,16.05,0.5589999999999999,0.161,0.1765,0.111,0.1105,0.441,0.48850000000000005,0.7875,0.35,0.34299999999999997,0.506,0.3385,0.298,0.64,0.014,6.5,0.16999999999999998,0.384,0,0,2019,1629014.0,Anfernee,Simons,Anfernee Simons,"Simons, Anfernee",A. Simons,anfernee-simons,1999-06-08T00:00:00,Edgewater HS (FL),USA,Edgewater HS (FL)/USA,75.0,193.0,5.0,Guard,Active,Y,1610612757.0,anfernee_simons,2018.0,2023.0,Y,Y,Y,2018,N,3,3,4,Yes
7,Anthony Bennett,PF,20.5,CLE,54.5,778.5,0.38849999999999996,12.8,0.8435,0.303,0.089,0.0725,0.3785,0.1565,0.4105,0.6415,0.2,0.2385,0.30400000000000005,0.27449999999999997,0.683,1.0,0.10450000000000001,25.0,0.2345,0.3865,0,0,2014,203461.0,Anthony,Bennett,Anthony Bennett,"Bennett, Anthony",A. Bennett,anthony-bennett,1993-03-14T00:00:00,UNLV,Canada,UNLV/Canada,80.0,235.0,5.0,Forward,Inactive,N,0.0,anthony_bennett,2013.0,2016.0,Y,Y,Y,2013,N,2,2,2,No
8,Archie Goodwin,SG,19.5,PHO,46.5,534.0,0.42400000000000004,8.85,0.79,0.536,0.14600000000000002,0.0415,0.0665,0.21,0.48050000000000004,0.577,0.27849999999999997,0.1965,0.3635,0.216,0.369,0.9585,0.0905,14.5,0.278,0.2645,2,0,2014,203462.0,Archie,Goodwin,Archie Goodwin,"Goodwin, Archie",A. Goodwin,archie-goodwin,1994-08-17T00:00:00,Kentucky,USA,Kentucky/USA,77.0,205.0,5.0,Guard,Inactive,N,1610612756.0,archie_goodwin,2013.0,2016.0,Y,Y,Y,2013,N,2,2,3,Yes
9,Bam Adebayo,C,20.5,MIA,75.5,1640.5,0.544,4.75,0.974,0.598,0.2375,0.1015,0.037000000000000005,0.026000000000000002,0.5555,0.679,0.372,0.347,0.326,0.1,0.7004999999999999,0.3335,0.27549999999999997,104.0,0.1335,0.0,4,0,2018,1628389.0,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,81.0,255.0,6.0,Center-Forward,Active,Y,1610612748.0,bam_adebayo,2017.0,2023.0,N,Y,Y,2017,N,1,1,1,No
10,Ben McLemore,SG,20.5,SAC,82.0,2428.5,0.4065,16.15,0.546,0.2155,0.11599999999999999,0.0445,0.17099999999999999,0.45399999999999996,0.46299999999999997,0.659,0.255,0.40900000000000003,0.369,0.33899999999999997,0.6234999999999999,0.9305,0.07250000000000001,47.0,0.3175,0.419,5,1,2014,203463.0,Ben,McLemore,Ben McLemore,"McLemore, Ben",B. McLemore,ben-mclemore,1993-02-11T00:00:00,Kansas,USA,Kansas/USA,75.0,195.0,10.0,Guard,Inactive,N,1610612757.0,ben_mclemore,2013.0,2021.0,Y,Y,Y,2013,N,3,3,4,Yes
11,Ben Simmons,PG,21.5,PHI,80.0,2716.0,0.554,4.8,0.9915,0.5165,0.3255,0.1255,0.024,0.0085,0.5585,0.725,0.4195,0.2865,0.249,0.0,0.38949999999999996,0.0,0.158,140.5,0.0,0.0,8,0,2018,1627732.0,Ben,Simmons,Ben Simmons,"Simmons, Ben",B. Simmons,ben-simmons,1996-07-20T00:00:00,Louisiana State,Australia,Louisiana State/Australia,82.0,240.0,5.0,Guard-Forward,Active,Y,1610612751.0,ben_simmons,2016.0,2023.0,N,Y,Y,2016,N,1,1,2,Yes
12,Bobby Portis,PF,20.5,CHI,63.0,1051.0,0.4575,11.8,0.8125,0.29400000000000004,0.1785,0.1125,0.2265,0.1875,0.492,0.6379999999999999,0.461,0.276,0.439,0.3205,0.6355,0.969,0.056,20.0,0.306,0.182,1,0,2016,1626171.0,Bobby,Portis,Bobby Portis,"Portis, Bobby",B. Portis,bobby-portis,1995-02-10T00:00:00,Arkansas,USA,Arkansas/USA,82.0,250.0,8.0,Forward,Active,Y,1610612749.0,bobby_portis,2015.0,2023.0,Y,Y,Y,2015,N,2,3,4,Yes
13,Brandon Clarke,PF,23.5,MEM,58.5,1357.5,0.5675,7.8,0.855,0.44099999999999995,0.247,0.1395,0.0275,0.14500000000000002,0.6114999999999999,0.749,0.476,0.467,0.3695,0.3095,0.8134999999999999,1.0,0.156,68.0,0.5095,0.27849999999999997,0,0,2020,1629634.0,Brandon,Clarke,Brandon Clarke,"Clarke, Brandon",B. Clarke,brandon-clarke,1996-09-19T00:00:00,Gonzaga,Canada,Gonzaga/Canada,80.0,215.0,4.0,Forward,Active,N,1610612763.0,brandon_clarke,2019.0,2023.0,N,Y,Y,2019,N,3,3,1,No
14,Bruce Brown,SG,22.5,DET,66.0,1541.5,0.4205,9.35,0.7444999999999999,0.3975,0.304,0.0305,0.012,0.2555,0.4635,0.5834999999999999,0.32999999999999996,0.3125,0.225,0.301,0.498,0.964,0.0645,18.5,0.5385,0.387,3,0,2019,1628971.0,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,76.0,202.0,5.0,Guard-Forward,Active,Y,1610612754.0,bruce_brown,2018.0,2023.0,Y,Y,Y,2018,N,1,3,4,Yes
15,Bruno Fernando,C,21.5,ATL,44.5,469.5,0.4635,5.75,0.8845,0.6185,0.184,0.054000000000000006,0.0275,0.11549999999999999,0.517,0.6495,0.1485,0.479,0.0,0.0675,0.7635,0.5,0.2155,22.0,0.4525,0.0335,0,0,2020,1628981.0,Bruno,Fernando,Bruno Fernando,"Fernando, Bruno",B. Fernando,bruno-fernando,1998-08-15T00:00:00,Maryland,Angola,Maryland/Angola,81.0,240.0,4.0,Forward-Center,Active,Y,1610612737.0,bruno_fernando,2019.0,2023.0,Y,Y,Y,2019,N,1,1,4,Yes
16,Cam Reddish,SF,20.5,ATL,42.0,1150.5,0.3745,15.25,0.535,0.235,0.14700000000000002,0.07650000000000001,0.076,0.46499999999999997,0.444,0.5980000000000001,0.3135,0.2985,0.368,0.29700000000000004,0.5555,0.903,0.0545,14.0,0.277,0.331,0,0,2020,1629629.0,Cam,Reddish,Cam Reddish,"Reddish, Cam",C. Reddish,cam-reddish,1999-09-01T00:00:00,Duke,USA,Duke/USA,79.0,217.0,4.0,Forward-Guard,Active,Y,1610612747.0,cameron_reddish,2019.0,2023.0,N,Y,Y,2019,N,2,2,3,Yes
